ID,NOMBRE,APELLIDO,SALARIO,FECHA_NACIMIENTO,PESO (KG),DEPARTAMENTO
11,FRANCISCO JAVIER,JIMENEZ,$800.00,11/03/1994,87,4
12,CARLOS,RUIZ,$300.00,23/09/1984,92,1
13,JESUS,ALONSO,$400.00,13/01/1994,66,3
14,ALEJANDRO,HERNANDEZ,"$3,100.00",02/09/1999,53,1
15,MIGUEL,DIAZ,"$1,000.00",18/09/1989,101,2
16,JOSE MANUEL,GUTIERREZ,"$1,100.00",30/01/1989,104,1
17,RAFAEL,ALVAREZ,$500.00,02/04/1989,74,3
18,MIGUEL ANGEL,MORENO,$600.00,03/09/1998,107,4
19,PEDRO,MU¥OZ,$400.00,02/04/1989,107,4
20,PABLO,BLANCO,"$1,100.00",21/09/1989,,3
