ID,NOMBRE,APELLIDO,SALARIO,FECHA_NACIMIENTO,PESO (KG),DEPARTAMENTO,
21,ANGEL,GIL,"$1,000.00",23/02/1983,106,1,FINANZAS
22,SERGIO,AGUIRRE,"$1,100.00",28/01/1998,70,3,RECURSOS HUMANOS
23,JOSE MARIA,DIEZ,$500.00,23/09/1980,61,2,CONTABILIDAD
24,FERNANDO,SALAZAR,"$1,400.00",29/09/1984,85,3,RECURSOS HUMANOS
25,JORGE,RAMOS,"$1,300.00",22/03/1982,75,1,FINANZAS
26,LUIS,DOMINGUEZ,$300.00,23/09/1989,88,2,CONTABILIDAD
27,ALBERTO,ORTIZ,$500.00,13/09/1989,102,2,CONTABILIDAD
28,JUAN CARLOS,IBA¥EZ,"$1,100.00",19/09/1994,69,1,FINANZAS
29,ALVARO,RAMIREZ,$900.00,02/08/1999,73,1,FINANZAS
30,ADRIAN,SAEZ,"$1,500.00",04/01/1999,71,3,RECURSOS HUMANOS
